Soy,Tengo,Argentina,Años de experiencia,Años en el puesto actual,Trabajo de,Gente a cargo?,Cuánta?,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Julio 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación en 2016?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Mujer,24 - 26,Chubut,4,4,Developer,No,0,"Linux, Docker / Containers",,,,,No,0,Neto,Full-Time,27000,Neto,3,2,Menos de un sueldo,Performance de la compañía,Uno,26,101-200,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos"
Mujer,24 - 26,Chubut,3,2,Developer,No,0,"Windows, OpenStack",,,,,"Sí, pasiva",2000,Bruto,Part-Time,32000,Neto,3,2,Menos de un sueldo,Performance grupal,Dos,20,51-100,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos"
Hombre,21 - 23,Chubut,2,Menos de un año,HelpDesk,No,0,"Windows, VMWare",,,,,No,0,Bruto,Part-Time,10400,Neto,4,4,No,No recibo bono,No,0,51-100,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos"
Hombre,27 - 30,Chubut,3,3,HelpDesk,No,0,Windows,,,,,No,0,Neto,Full-Time,15000,Neto,2,2,No,No recibo bono,Dos,10,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Chubut,10+,7,HelpDesk,No,0,"Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,Part-Time,17000,Neto,2,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Chubut,10+,10+,HelpDesk,No,0,"Windows, VMWare",,,,,No,0,Neto,Full-Time,20000,Neto,1,2,No,No recibo bono,Dos,10,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chubut,10+,9,Jefe de taller,Sí,10,"Windows, Scanner obd",,,,,No,0,Neto,Part-Time,22000,Neto,1,1,No,Performance de la compañía,No,0,11-50,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,34 - 36,Chubut,10+,9,Jefe it,Sí,2,Windows,,,,,"Sí, pasiva",4000,Porcentaje de mi sueldo,Full-Time,50000,Bruto,3,3,No,No recibo bono,Dos,20,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Laptop"
Hombre,50+,Chubut,10+,10+,Networking,No,0,"Linux, Windows",,,,,No,0,Bruto,Full-Time,20000,Neto,2,2,No,No recibo bono,Uno,18,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chubut,Menos de un año,8,Networking,No,0,"Linux, Windows",,,,,"Sí, activa",28000,Neto,Part-Time,28000,Neto,3,2,No,No recibo bono,Uno,30,51-100,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,31 - 33,Chubut,10+,8,Networking,No,0,Windows,,,,,"Sí, pasiva",1500,Neto,Full-Time,37500,Neto,3,3,No,No recibo bono,Más de dos,30,11-50,No,No cambié de empresa,"Aumento por inflación, Comidas pagas/subvencionadas, Laptop, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Chubut,10+,2,Networking,No,0,Windows,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,39000,Neto,3,2,Menos de un sueldo,Performance individual,Uno,20,201-500,No,No cambié de empresa,depto
Hombre,31 - 33,Chubut,6,1,QA / Tester,Sí,1,Windows,,,,,"Sí, activa",1000,Neto,Full-Time,25000,Neto,3,2,Un sueldo,Performance individual,No,0,101-200,Sí,Salario,"Abono de celular y/o Internet, Ninguna de las anteriores"
Hombre,27 - 30,Chubut,10+,Menos de un año,Soporte tecnico,No,0,Windows,,,,,"Sí, pasiva",1000,Neto,Full-Time,15500,Neto,2,2,No,No recibo bono,No,0,51-100,Sí,Mayor comodidad,"Capacitaciones y/o cursos, Sueldo divido en dos pagos por mes, Viáticos"
Hombre,37 - 40,Chubut,7,7,SysAdmin / DevOps,Sí,3,"Linux, Windows",,,,,"Sí, pasiva",2000,Bruto,Full-Time,23000,Neto,3,1,Menos de un sueldo,Mix de las anteriores,Dos,40,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Laptop, Viáticos"
