Timestamp,Tengo,Trabajo en,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias ?,Cuánto te pagan por guardia (AR$),Salario bruto mensual (AR$),Cómo creés que está tu sueldo,Beneficios
11/25/2014 14:56:24,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,4 -6,SysAdmin,"*BSD, Linux, Solaris, Windows, """"""Cloud"""""", Mac Os Server",,,"Sí, pasiva",0,15000,2,"Abono de celular y/o Internet, Snacks, golosinas, bebidas, etc, Laptop, Playroom, WFH (Trabajar desde casa)"
11/25/2014 15:02:40,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,SysAdmin,"HP-UX, Linux, Windows, """"""Cloud""""""",,,"Sí, pasiva",0,12500,3,WFH (Trabajar desde casa)
11/25/2014 15:02:44,35 - 40,Buenos Aires,7 - 10,6 - 10,Developer,,"CSS, HTML, NodeJS, Ruby, Javascript",,No,,28000,4,"Horarios flexibles, WFH (Trabajar desde casa)"
11/25/2014 15:10:56,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,2 - 4,HelpDesk,,,,"Sí, activa",1400,9763,2,Laptop
11/25/2014 15:12:31,20 - 23,Ciudad Autónoma de Buenos Aires,3 - 5,2 - 4,SysAdmin,"AIX, Linux, Solaris, Windows, web admin",,,"Sí, pasiva",2000,15000,3,"Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
11/25/2014 15:13:13,30 - 33,Ciudad Autónoma de Buenos Aires,10+,6 - 10,SysAdmin,"Linux, Windows",,,No,,10000,2,"Abono de celular y/o Internet, Viajes"
11/25/2014 15:14:20,23 - 25,Mendoza,3 - 5,1 - 2,HelpDesk,,,,No,,4895,4,Horarios flexibles
11/25/2014 15:15:01,27 - 30,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,Developer,,"HTML, Java, jQuery, NodeJS, PHP",,No,,13000,3,"Comidas pagas/subvencionadas, Horarios flexibles, WFH (Trabajar desde casa)"
11/25/2014 15:17:27,27 - 30,Ciudad Autónoma de Buenos Aires,10+,4 -6,DBA,,,Oracle,"Sí, pasiva",0,21000,4,"Abono de celular y/o Internet, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop"
11/25/2014 15:20:45,35 - 40,Buenos Aires,3 - 5,1 - 2,Infosec,,,,No,,13000,3,"Snacks, golosinas, bebidas, etc"
11/25/2014 15:30:17,25 - 27,Buenos Aires,1 - 3,2 - 4,SysAdmin,Windows,,,No,,6800,4,Ninguna de las anteriores
11/25/2014 15:32:53,35 - 40,Ciudad Autónoma de Buenos Aires,10+,2 - 4,Networking,,,,"Sí, pasiva",0,13400,3,Ninguna de las anteriores
11/25/2014 15:46:40,25 - 27,San Luis,3 - 5,1 - 2,Networking,,,,"Sí, pasiva",0,8300,3,"Capacitaciones y/o cursos, Horarios flexibles, Laptop"
11/25/2014 15:49:11,27 - 30,Buenos Aires,3 - 5,Menos de un año,SysAdmin,"AIX, Linux, Solaris",,,"Sí, pasiva",1000,13500,3,"Clases de idiomas, WFH (Trabajar desde casa)"
11/25/2014 16:03:08,27 - 30,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,Infosec,,,,"Sí, pasiva",800,10350,3,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles, WFH (Trabajar desde casa)"
